epoch,train_mse,test_mse,train_r2,test_r2,lr
296,0.01487674,0.01790475,0.98512328,0.98100448,0.00100000
297,0.01508881,0.01768699,0.98491120,0.98130625,0.00100000
298,0.01521706,0.01858029,0.98478293,0.98034334,0.00100000
299,0.01249662,0.01589309,0.98750341,0.98310900,0.00100000
300,0.01247740,0.01596422,0.98752260,0.98305905,0.00100000
301,0.01811982,0.02084850,0.98188013,0.97780055,0.00100000
302,0.01400872,0.01710983,0.98599124,0.98186827,0.00100000
303,0.01367747,0.01696560,0.98632252,0.98200482,0.00100000
304,0.01433578,0.01714075,0.98566425,0.98185027,0.00100000
305,0.01319388,0.01640712,0.98680615,0.98257422,0.00100000
306,0.01383516,0.01822362,0.98616481,0.98065180,0.00100000
307,0.01492551,0.01719218,0.98507446,0.98174334,0.00100000
308,0.01478298,0.01755313,0.98521698,0.98141074,0.00100000
309,0.01402766,0.01745997,0.98597234,0.98151839,0.00100000
310,0.01317371,0.01589369,0.98682630,0.98316455,0.00100000
311,0.01641472,0.02024604,0.98358524,0.97853339,0.00100000
312,0.01392599,0.01710530,0.98607397,0.98185945,0.00100000
313,0.01313794,0.01596993,0.98686206,0.98306704,0.00100000
314,0.01416374,0.01674381,0.98583627,0.98228288,0.00100000
315,0.01521101,0.01810663,0.98478901,0.98089021,0.00100000
316,0.01325743,0.01618766,0.98674256,0.98281974,0.00100000
317,0.01436907,0.01754471,0.98563099,0.98141134,0.00100000
318,0.01594516,0.01906037,0.98405480,0.97978473,0.00100000
319,0.01631556,0.01915403,0.98368442,0.97968119,0.00100000
320,0.01412833,0.01658202,0.98587167,0.98242372,0.00100000
321,0.01243434,0.01564674,0.98756570,0.98340327,0.00100000
322,0.01337322,0.01615948,0.98662674,0.98292547,0.00100000
323,0.01446319,0.01762742,0.98553681,0.98127896,0.00100000
324,0.01135583,0.01472196,0.98864418,0.98435050,0.00100000
325,0.01472718,0.01812072,0.98527277,0.98084480,0.00100000
326,0.01680006,0.02027507,0.98319995,0.97859854,0.00100000
327,0.01609939,0.01928958,0.98390061,0.97958368,0.00100000
328,0.01412342,0.01675661,0.98587662,0.98222256,0.00100000
329,0.01660818,0.01929467,0.98339176,0.97948509,0.00100000
330,0.01791886,0.02146056,0.98208117,0.97728193,0.00100000
331,0.01513903,0.01744782,0.98486096,0.98152786,0.00100000
332,0.01441512,0.01756722,0.98558486,0.98137546,0.00100000
333,0.01514610,0.01781725,0.98485386,0.98110896,0.00100000
334,0.01358127,0.01633359,0.98641872,0.98263669,0.00100000
335,0.01491899,0.01778570,0.98508096,0.98116565,0.00100000
336,0.01386276,0.01768440,0.98613721,0.98129165,0.00100000
337,0.01423218,0.01679223,0.98576778,0.98221028,0.00100000
338,0.01444995,0.01778053,0.98555005,0.98112053,0.00100000
339,0.01785005,0.02109288,0.98214990,0.97768521,0.00100000
340,0.01438547,0.01763224,0.98561460,0.98139697,0.00100000
341,0.01315332,0.01587168,0.98684669,0.98314613,0.00100000
342,0.01436104,0.01763256,0.98563898,0.98129946,0.00100000
343,0.01416849,0.01695281,0.98583156,0.98201740,0.00100000
344,0.01623089,0.01863239,0.98376918,0.98030388,0.00100000
345,0.01432049,0.01774729,0.98567951,0.98116541,0.00100000
346,0.01425561,0.01690995,0.98574442,0.98205781,0.00100000
347,0.01562953,0.01884527,0.98437047,0.97997910,0.00100000
348,0.01604275,0.01893125,0.98395729,0.97993255,0.00100000
349,0.01373450,0.01675724,0.98626548,0.98228687,0.00100000
350,0.01300278,0.01645111,0.98699725,0.98253858,0.00100000
351,0.01303625,0.01579368,0.98696375,0.98326093,0.00100000
352,0.01330347,0.01624334,0.98669648,0.98279721,0.00100000
353,0.01319660,0.01628656,0.98680341,0.98278034,0.00100000
354,0.01566168,0.01914638,0.98433840,0.97968358,0.00100000
355,0.01310257,0.01614581,0.98689741,0.98286980,0.00100000
356,0.01333134,0.01703768,0.98666865,0.98190236,0.00100000
357,0.01825520,0.02093689,0.98174477,0.97777289,0.00100000
358,0.01739290,0.02129550,0.98260713,0.97741348,0.00100000
359,0.01389227,0.01691930,0.98610771,0.98212296,0.00100000
360,0.01427585,0.01690422,0.98572415,0.98211265,0.00100000
